Nr,Sp,Peso_gr
1,Encino,16.6
2,Encino,16.8
3,Encino,17.2
4,Encino,17.6
5,Encino,17.2
6,Encino,18.6
7,Encino,18.4
8,Encino,17.6
9,Encino,16.6
10,Encino,16.6
11,Encino,18.2
12,Encino,17.2
13,Encino,16.2
14,Encino,17
15,Encino,17
16,Encino,18.6
17,Encino,17.6
18,Encino,17.2
19,Encino,16.6
20,Encino,18.4
21,Encino,16.4
22,Encino,17.2
23,Encino,18.6
24,Encino,17.8
25,Encino,17.6
26,Encino,18
27,Encino,17.4
28,Encino,19
29,Encino,17.4
30,Encino,17.2
31,Pino,12.6
32,Pino,14.4
33,Pino,12.6
34,Pino,12
35,Pino,13.2
36,Pino,13.2
37,Pino,12.2
38,Pino,12.2
39,Pino,12.2
40,Pino,12.2
41,Pino,13
42,Pino,11.6
43,Pino,13.2
44,Pino,11.8
45,Pino,12.8
46,Pino,13.8
47,Pino,12.2
48,Pino,12.2
49,Pino,11.8
50,Pino,12.8
51,Pino,12.8
52,Pino,12.4
53,Pino,12.8
54,Pino,13.4
55,Pino,12.4
56,Pino,11.8
57,Pino,11
58,Pino,12.6
59,Pino,17.2
60,Pino,12
