Fecha,Hora,CE,NE,NO,SE,SO
01/01/2004,0,2.1,3.3,5.1,3.4,3.5
01/01/2004,1,2.1,3.9,6.4,3.7,4
01/01/2004,2,2.1,3.2,7.1,3.9,5.5
01/01/2004,3,2.6,2.9,6.5,4,5.3
01/01/2004,4,2.6,2.5,4.3,2.8,4.3
01/01/2004,5,2.1,2.2,3.7,2.6,3.3
01/01/2004,6,1.6,2.1,3.5,2.5,3.6
01/01/2004,7,1.5,1.9,3.1,2.1,3.1
01/01/2004,8,1.5,1.7,3.2,1.8,2.8
01/01/2004,9,1.3,1.7,3.2,1.7,2.5
01/01/2004,10,1.2,1.7,3.1,1.8,2.4
01/01/2004,11,1.3,,3.2,1.9,2.6
01/01/2004,12,1.4,1.9,3.1,1.8,2.5
01/01/2004,13,1.4,1.9,3.2,1.7,2.6
01/01/2004,14,1.5,1.9,3.3,1.8,2.6
01/01/2004,15,1.6,1.9,3.5,1.9,2.8
01/01/2004,16,1.5,2,3.5,2,3
01/01/2004,17,1.7,2.9,3.9,2.2,3.7
01/01/2004,18,2.2,6.5,5.2,3.1,5.7
01/01/2004,19,3.3,7.4,6.4,3.7,5.8
01/01/2004,20,4.2,6.7,6.7,3.6,5.4
01/01/2004,21,3.5,5.8,7.5,4.4,5.6
01/01/2004,22,3.5,10.4,7.7,3,4.9
01/01/2004,23,2.8,8.2,7.1,3.4,5.4
31/12/2004,0,4.2,2.1,3.9,1.5,4.9
31/12/2004,1,3.4,2.6,2.9,1.3,4.3
31/12/2004,2,3.4,2.6,3.1,1.3,4.2
31/12/2004,3,2.9,2.7,2.2,1.3,3.2
31/12/2004,4,2.4,3,2.2,1.7,2.8
31/12/2004,5,1.9,3.9,2.1,2.3,2.5
31/12/2004,6,1.9,4,2.5,2.7,3.1
31/12/2004,7,2.3,5.8,4.1,3.1,4.9
31/12/2004,8,3,5,4.5,3.4,3.8
31/12/2004,9,2.6,1.7,2.7,2.2,3.4
31/12/2004,10,2.4,1.4,1.9,2.7,2.5
31/12/2004,11,1.8,1.3,1.4,1.4,2.1
31/12/2004,12,1.9,1.3,1.5,1.2,2.2
31/12/2004,13,1.6,1.4,1.5,1.2,2.3
31/12/2004,14,1.6,1.4,1.6,0.9,2.2
31/12/2004,15,1.3,1.4,1.5,0.8,1.8
31/12/2004,16,1.1,1.8,1.5,0.8,1.7
31/12/2004,17,1.2,1.9,1.7,0.8,2
31/12/2004,18,1.6,3.2,3,0.8,2.3
31/12/2004,19,1.5,3.7,4.5,1.1,3.4
31/12/2004,20,1.4,5,5.9,0.6,4.7
31/12/2004,21,1.8,2.8,11,1.4,6.1
31/12/2004,22,2,2.3,2,1.1,3.1
31/12/2004,23,1.7,1.7,2.3,1.5,2.5
